iter	Passed	Remaining
959	45338	1889
960	45386	1841
961	45434	1794
962	45482	1747
963	45529	1700
964	45576	1653
965	45622	1605
966	45669	1558
967	45715	1511
968	45775	1464
969	45822	1417
970	45885	1370
971	45932	1323
972	45979	1275
973	46025	1228
974	46071	1181
975	46119	1134
976	46166	1086
977	46242	1040
978	46296	993
979	46347	945
980	46405	898
981	46459	851
982	46513	804
983	46578	757
984	46632	710
985	46686	662
986	46737	615
987	46791	568
988	46848	521
989	46901	473
990	46951	426
991	46997	379
992	47044	331
993	47090	284
994	47138	236
995	47185	189
996	47234	142
997	47285	94
998	47334	47
999	47380	0
